company_url,shareholder,shares_count,shares_pct,votes_count,votes_pct
https://www.gpw.pl/spolka?isin=PLNFI1000012,IPOPEMA 12 Fundusz Inwestycyjny Zamknięty Aktywów Niepublicznych,30 181 613,"65,46",30 181 613,"65,46"
https://www.gpw.pl/spolka?isin=PLNFI1000012,Grzegorz Sochacki,4 680 000,"10,15",4 680 000,"10,15"
https://www.gpw.pl/spolka?isin=PLNFI1000012,MDI Energia Spółka Akcyjna,3 999 965,"8,68",3 999 965,"8,68"
https://www.gpw.pl/spolka?isin=PLNFI1200018,Porozumienie: p. Michał Skotnicki. p. Rafał Szczepański. p. Krzysztof Tyszkiewicz. p. Piotr Litwiński,4 555 262,"44,95",4 555 262,"44,95"
https://www.gpw.pl/spolka?isin=PLNFI1200018,BBI Development Spółka Akcyjna,91 367,"0,90",91 367,"0,90"
https://www.gpw.pl/spolka?isin=PLNNGRP00011,Michał Lach *,8 418 451,"26,17",8 418 451,"26,17"
https://www.gpw.pl/spolka?isin=PLNNGRP00011,Robert Dziubłowski *,3 357 910,"10,44",3 357 910,"10,44"
https://www.gpw.pl/spolka?isin=PLNTSYS00013,Tadeusz Kurek,3 477 000,"25,10",3 477 000,"25,10"
https://www.gpw.pl/spolka?isin=PLNTSYS00013,Davinder Singh Loomba,3 308 625,"23,89",3 308 625,"23,89"
https://www.gpw.pl/spolka?isin=PLNTSYS00013,Andrzej Rymuza,1 144 313,"8,26",1 144 313,"8,26"
https://www.gpw.pl/spolka?isin=PLNTSYS00013,Anna Pytkowska,800 000,"5,78",800 000,"5,78"
https://www.gpw.pl/spolka?isin=PLNTSYS00013,Barbara Kurek,762 500,"5,51",762 500,"5,51"
https://www.gpw.pl/spolka?isin=PLNVITA00018,Vaporjet Ltd. *,1 602 719,"64,11",1 602 719,"64,11"
https://www.gpw.pl/spolka?isin=PLNVITA00018,Finveco Sp. z o.o. *,691 000,"27,64",691 000,"27,64"
https://www.gpw.pl/spolka?isin=PLODLPL00013,OP Invest SP. z o.o.,5 765 246,"28,67",5 765 246,"28,67"
https://www.gpw.pl/spolka?isin=PLODLPL00013,Porozumienie akcjonariuszy: p. Adam Żyła. p. Marcin Wąsiel,5 512 815,"27,41",5 512 815,"27,41"
https://www.gpw.pl/spolka?isin=PLODLPL00013,PKO BP BANKOWY Powszechne Towarzystwo Emerytalne SA,2 315 140,"11,51",2 315 140,"11,51"
https://www.gpw.pl/spolka?isin=PLODLPL00013,Leszek Walczyk,1 230 578,"6,12",1 230 578,"6,12"
https://www.gpw.pl/spolka?isin=PLODRTS00017,Neuvic Fundacja Rodzinna,4 191 713,"32,00",4 191 713,"32,00"
https://www.gpw.pl/spolka?isin=PLODRTS00017,Marsel Fundacja Rodzinna,3 274 694,"25,00",3 274 694,"25,00"
https://www.gpw.pl/spolka?isin=PLODRTS00017,Generali Powszechne Towarzystwo Emerytalne SA,2 075 414,"15,84",2 075 414,"15,84"
https://www.gpw.pl/spolka?isin=PLODRTS00017,Cres Fundacja Rodzinna w organizacji,1 623 192,"12,39",1 623 192,"12,39"
https://www.gpw.pl/spolka?isin=PLODRTS00017,Powszechne Towarzystwo Emerytalne Allianz Polska S.A.,794 047,"6,06",794 047,"6,06"
https://www.gpw.pl/spolka?isin=PLONCTH00011,MS GALLEON GmbH *,5 040 000,"24,46",5 040 000,"24,46"
https://www.gpw.pl/spolka?isin=PLONCTH00011,NATIONALE-NEDERLANDEN Powszechne Towarzystwo Emerytalne S.A.,1 445 000,"7,01",1 445 000,"7,01"
https://www.gpw.pl/spolka?isin=PLONCTH00011,Marcin Szumowski *,1 176 163,"5,71",1 176 163,"5,71"
https://www.gpw.pl/spolka?isin=PLONDE000018,Erbud Spółka Akcyjna,33 072 822,"60,67",33 072 822,"60,67"
https://www.gpw.pl/spolka?isin=PLONDE000018,NATIONALE-NEDERLANDEN Powszechne Towarzystwo Emerytalne S.A.,4 312 000,"7,91",4 312 000,"7,91"
https://www.gpw.pl/spolka?isin=PLONDE000018,Jacek Leczkowski,3 530 612,"6,48",3 530 612,"6,48"
https://www.gpw.pl/spolka?isin=PLONDE000018,Generali Powszechne Towarzystwo Emerytalne SA,3 274 976,"6,01",3 274 976,"6,01"
